epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6629.17,0.29887,0.3076,0.92653,0.98586,0.98986,0.99467,0.98683,0.19396,0.16656,0.79807,0.005842,0.005842,0.005842
44,6784.33,0.29786,0.30629,0.92675,0.99073,0.98968,0.99473,0.98744,0.19112,0.16533,0.79822,0.005743,0.005743,0.005743
45,6938.51,0.29566,0.30282,0.92705,0.98655,0.99084,0.99436,0.98417,0.19509,0.18101,0.80562,0.005644,0.005644,0.005644
46,7092.83,0.29147,0.29676,0.92658,0.98937,0.99167,0.99447,0.98639,0.19004,0.16822,0.79943,0.005545,0.005545,0.005545
47,7247.08,0.29559,0.30656,0.92862,0.99474,0.98317,0.99471,0.98554,0.19053,0.16495,0.79764,0.005446,0.005446,0.005446
48,7400.76,0.29285,0.2979,0.92326,0.99098,0.98863,0.99443,0.98786,0.18893,0.16234,0.79862,0.005347,0.005347,0.005347
49,7554.71,0.28866,0.293,0.92331,0.9881,0.98818,0.9946,0.98814,0.19019,0.16338,0.79621,0.005248,0.005248,0.005248
50,7708.89,0.28845,0.29177,0.92343,0.98773,0.99113,0.99423,0.9862,0.18512,0.16382,0.79263,0.005149,0.005149,0.005149
51,7861.87,0.28267,0.28609,0.91809,0.9911,0.98916,0.99466,0.98871,0.18708,0.16634,0.79713,0.00505,0.00505,0.00505
52,8015.42,0.287,0.28883,0.92315,0.98733,0.99145,0.99464,0.98826,0.18465,0.17903,0.79188,0.004951,0.004951,0.004951
53,8169.1,0.28537,0.28592,0.92174,0.98839,0.99107,0.99461,0.98938,0.18345,0.16218,0.79093,0.004852,0.004852,0.004852
54,8323.41,0.28387,0.28367,0.91934,0.99111,0.98805,0.99427,0.98801,0.18424,0.16139,0.79535,0.004753,0.004753,0.004753
55,8476.99,0.2829,0.27852,0.92056,0.98818,0.9905,0.99434,0.98941,0.17757,0.15574,0.78457,0.004654,0.004654,0.004654
56,8630.31,0.28125,0.27787,0.92086,0.98984,0.99008,0.99453,0.99005,0.17603,0.15128,0.78254,0.004555,0.004555,0.004555
57,8783.88,0.28152,0.27937,0.91911,0.99126,0.98853,0.99437,0.98912,0.1788,0.15754,0.78759,0.004456,0.004456,0.004456
58,8937.75,0.27949,0.27582,0.91817,0.99198,0.98851,0.99416,0.98931,0.17536,0.15386,0.7853,0.004357,0.004357,0.004357
59,9091.39,0.2777,0.27777,0.91579,0.99319,0.98675,0.9943,0.98851,0.17466,0.15066,0.78041,0.004258,0.004258,0.004258
60,9245.04,0.27649,0.27027,0.91788,0.9909,0.98801,0.99451,0.98909,0.17598,0.14919,0.78273,0.004159,0.004159,0.004159
61,9398.21,0.27758,0.27247,0.9151,0.99137,0.98899,0.99456,0.99035,0.17158,0.1511,0.78228,0.00406,0.00406,0.00406
62,9551.37,0.27522,0.26915,0.9154,0.99081,0.98818,0.9946,0.99008,0.17114,0.14516,0.78039,0.003961,0.003961,0.003961
63,9705.18,0.27248,0.26495,0.91446,0.9927,0.98895,0.99413,0.98887,0.17347,0.15564,0.78539,0.003862,0.003862,0.003862
64,9858.09,0.27185,0.26418,0.91451,0.99114,0.99135,0.99458,0.98974,0.17034,0.1466,0.78143,0.003763,0.003763,0.003763
65,10011.2,0.27086,0.26451,0.91591,0.9915,0.99064,0.99439,0.98979,0.17362,0.15029,0.78321,0.003664,0.003664,0.003664
66,10164.5,0.26981,0.26367,0.91259,0.99022,0.99143,0.99461,0.98911,0.17146,0.14697,0.78238,0.003565,0.003565,0.003565
67,10317.8,0.26808,0.25838,0.9135,0.99319,0.98847,0.99452,0.98976,0.17313,0.14562,0.78619,0.003466,0.003466,0.003466
68,10471,0.26416,0.2529,0.91171,0.99308,0.98883,0.9944,0.99085,0.16876,0.14278,0.78106,0.003367,0.003367,0.003367
69,10625.6,0.26273,0.25298,0.90875,0.99318,0.98881,0.99448,0.98952,0.16864,0.14091,0.78294,0.003268,0.003268,0.003268
70,10778.7,0.26608,0.25377,0.91346,0.99389,0.98685,0.99426,0.99022,0.17031,0.14658,0.78538,0.003169,0.003169,0.003169
71,10932.2,0.26266,0.25055,0.9097,0.99237,0.98958,0.99425,0.98994,0.16924,0.14706,0.78295,0.00307,0.00307,0.00307
72,11085.9,0.25895,0.24539,0.90813,0.9918,0.99006,0.99458,0.99007,0.16979,0.14869,0.78415,0.002971,0.002971,0.002971
73,11239.6,0.26541,0.25205,0.91121,0.99017,0.9913,0.9946,0.99073,0.16683,0.1431,0.78177,0.002872,0.002872,0.002872
74,11392.5,0.25748,0.24351,0.90719,0.99078,0.99146,0.99451,0.98996,0.1673,0.13873,0.7806,0.002773,0.002773,0.002773
75,11545.6,0.25991,0.24793,0.90983,0.99295,0.99023,0.99411,0.98951,0.1675,0.13668,0.77998,0.002674,0.002674,0.002674
76,11698.7,0.26154,0.24555,0.90794,0.99326,0.98894,0.9943,0.9903,0.166,0.13667,0.77677,0.002575,0.002575,0.002575
77,11852,0.26016,0.24204,0.90785,0.99204,0.98948,0.99358,0.98977,0.16378,0.13635,0.77555,0.002476,0.002476,0.002476
78,12007.1,0.25682,0.24213,0.90728,0.98971,0.9923,0.99437,0.99031,0.16351,0.13717,0.77604,0.002377,0.002377,0.002377
79,12160.9,0.25309,0.23561,0.90453,0.99121,0.98936,0.99411,0.99066,0.16602,0.13983,0.77901,0.002278,0.002278,0.002278
80,12313.2,0.2518,0.23113,0.9051,0.99128,0.98907,0.99417,0.98967,0.16661,0.14016,0.78049,0.002179,0.002179,0.002179
81,12465.8,0.25285,0.23101,0.90401,0.99108,0.98913,0.99392,0.98932,0.16583,0.14052,0.77864,0.00208,0.00208,0.00208
82,12618,0.25117,0.23476,0.9055,0.99192,0.99008,0.99387,0.99017,0.16548,0.13854,0.77881,0.001981,0.001981,0.001981
83,12770.1,0.25162,0.23217,0.90525,0.99016,0.99117,0.99418,0.99037,0.1636,0.13811,0.77666,0.001882,0.001882,0.001882
84,12922,0.25044,0.22766,0.90359,0.99308,0.98807,0.9943,0.99043,0.16369,0.13463,0.77613,0.001783,0.001783,0.001783
85,13073.7,0.25004,0.22781,0.90221,0.99195,0.99026,0.99441,0.99104,0.1639,0.13964,0.77693,0.001684,0.001684,0.001684
86,13225.2,0.24598,0.22506,0.90095,0.99334,0.98976,0.99433,0.99044,0.16406,0.13891,0.77863,0.001585,0.001585,0.001585
